Tipo;Material;Quantity;Units;Price;Codigo RESPEL;Legislation;Subproduct class;Problems/risks;;;;;;;;;;;;
EMIS;MP;0;kg;;0.00005;1.29;2450;4;;;;;;;;;;;;
PR;Excelso;29127640;kg;10479;;;;;;;;;;;;;;;;
Empresa;2593;Fabricacion de articulos de cuchilleria, herramientas de mano y articulos de ferreteria;223;203;300;10500000;7360000;;;;;;;;;;;;;
MP;Sales quimicas ncp;12625;kg;5452;;;;;;;;;;;;;;;;
MP;Pelicula de polietileno;16265;kg;5522;;;;;;;;;;;;;;;;
MP;Acero en lingotes, tochos y formas similares;858000;kg;801;;;;;;;;;;;;;;;;
MP;Flejes de hierro o acero laminados en frio;3208847;kg;2175;;;;;;;;;;;;;;;;
MP;Remaches;26134600;kg;426;;;;;;;;;;;;;;;;
MP;Agua;11189000;kg;2.43;;;;;;;;;;;;;;;;
MP;Gas natural (f);494583;kg;5337.95;;;;0.577;;;;;;;;;;;;
EE;Energia electrica (f);2863038;kWh;616;;;;;;;;;;;;;;;;
RES;Limaduras y virutas de metales ferreos;3759533;kg;850;;5;1;1;;;;;;;;;;;;
RES;Lodos ;106920;kg;135;;3;1;1;;;;;;;;;;;;
RES;Papel y carton;17503;kg;255;;5;1;1;;;;;;;;;;;;
RES;Plastico;1353;kg;250;;5;1;1;;;;;;;;;;;;
RES;Aceites usados;3300;kg;3000;;5;1;1;;;;;;;;;;;;
VERT;Agua residual;11159000;kg;0.0016791;;;;;;;;;;;;;;;;
EMIS;SO2;0;kg;;0.0005;1.29;2450;4;;;;;;;;;;;;
EMIS;NOx;0;kg;;0.0005;1.29;2450;4;;;;;;;;;;;;
EMIS;MP;0;kg;;0.00005;1.29;2450;4;;;;;;;;;;;;
PR;Machetes y similares;2651556;kg;10746.67;;;;;;;;;;;;;;;;
PR;Limas y escofinas;1693359;kg;14756.67;;;;;;;;;;;;;;;;
PR;Chatarra de acero - productos;703900;kg;586;;;;;;;;;;;;;;;;
Empresa;2013;Fabricacion de plasticos en formas primarias;78;73;364;10500000;7360000;;;;;;;;;;;;;
MP;Tintas flexograficas base agua;52892;kg;18214;;;;;;;;;;;;;;;;
MP;Agua;1825000;kg;2.43;;;;;;;;;;;;;;;;
EE;Energia electrica (f);2452274;kWh;616;;;;;;;;;;;;;;;;
RES;Residuos ordinarios;29360;kg;135;;3;1;1;;;;;;;;;;;;
RES;Papel y carton;0;kg;255;;5;1;1;;;;;;;;;;;;
VERT;Agua residual;1825000;kg;0.0016791;;;;;;;;;;;;;;;;
EMIS;SO2;0;kg;;0.0005;1.29;2450;4;;;;;;;;;;;;
EMIS;NOx;0;kg;;0.0005;1.29;2450;4;;;;;;;;;;;;
EMIS;MP;0;kg;;0.00005;1.29;2450;4;;;;;;;;;;;;
PR;Bolsas impresas de material plastico;5356692;kg;1942;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
